p2;A
0.001;1.57073
0.00101859;1.56998
0.00103753;1.56924
0.00105682;1.56851
0.00107647;1.56778
0.00109648;1.56706
0.00111686;1.56635
0.00113763;1.56565
0.00115878;1.56495
0.00118032;1.56425
0.00120226;1.56357
0.00122462;1.56288
0.00124738;1.56221
0.00127057;1.56154
0.0012942;1.56088
0.00131826;1.56022
0.00134276;1.55957
0.00136773;1.55893
0.00139316;1.55829
0.00141906;1.55766
0.00144544;1.55703
0.00147231;1.55641
0.00149968;1.55579
0.00152757;1.55518
0.00155597;1.55457
0.00158489;1.55398
0.00161436;1.55338
0.00164437;1.55279
0.00167494;1.55221
0.00170608;1.55163
0.0017378;1.55106
0.00177011;1.55049
0.00180302;1.54993
0.00183654;1.54937
0.00187068;1.54882
0.00190546;1.54827
0.00194089;1.54773
0.00197697;1.54719
0.00201372;1.54666
0.00205116;1.54613
0.0020893;1.5456
0.00212814;1.54508
0.0021677;1.54457
0.002208;1.54406
0.00224905;1.54355
0.00229087;1.54305
0.00233346;1.54256
0.00237684;1.54207
0.00242103;1.54158
0.00246604;1.5411
0.00251189;1.54062
0.00255859;1.54014
0.00260615;1.53967
0.00265461;1.5392
0.00270396;1.53874
0.00275423;1.53828
0.00280543;1.53783
0.00285759;1.53738
0.00291072;1.53693
0.00296483;1.53649
0.00301995;1.53605
0.0030761;1.53562
0.00313329;1.53519
0.00319154;1.53476
0.00325087;1.53434
0.00331131;1.53392
0.00337287;1.5335
0.00343558;1.53309
0.00349945;1.53268
0.00356451;1.53227
0.00363078;1.53187
0.00369828;1.53147
0.00376704;1.53108
0.00383707;1.53069
0.00390841;1.5303
0.00398107;1.52991
0.00405509;1.52953
0.00413048;1.52915
0.00420727;1.52878
0.00428549;1.52841
0.00436516;1.52804
0.00444631;1.52767
0.00452898;1.52731
0.00461318;1.52695
0.00469894;1.52659
0.0047863;1.52624
0.00487528;1.52589
0.00496592;1.52554
0.00505825;1.52519
0.00515229;1.52485
0.00524807;1.52451
0.00534564;1.52418
0.00544503;1.52384
0.00554626;1.52351
0.00564937;1.52318
0.0057544;1.52285
0.00586138;1.52253
0.00597035;1.52221
0.00608135;1.52189
0.00619441;1.52158
0.00630957;1.52126
0.00642688;1.52095
0.00654636;1.52064
0.00666807;1.52034
0.00679204;1.52003
0.00691831;1.51973
0.00704693;1.51943
0.00717794;1.51914
0.00731139;1.51884
0.00744732;1.51855
0.00758578;1.51826
0.00772681;1.51797
0.00787046;1.51768
0.00801678;1.5174
0.00816582;1.51712
0.00831764;1.51684
0.00847227;1.51656
0.00862979;1.51628
0.00879023;1.51601
0.00895365;1.51574
0.00912011;1.51547
0.00928966;1.5152
0.00946237;1.51493
0.00963829;1.51467
0.00981748;1.5144
0.01;1.51414
0.0101859;1.51388
0.0103753;1.51362
0.0105682;1.51337
0.0107647;1.51311
0.0109648;1.51286
0.0111686;1.51261
0.0113763;1.51236
0.0115878;1.51211
0.0118032;1.51186
0.0120226;1.51162
0.0122462;1.51137
0.0124738;1.51113
0.0127057;1.51089
0.012942;1.51065
0.0131826;1.51041
0.0134276;1.51017
0.0136773;1.50993
0.0139316;1.5097
0.0141906;1.50946
0.0144544;1.50923
0.0147231;1.509
0.0149968;1.50877
0.0152757;1.50854
0.0155597;1.50831
0.0158489;1.50808
0.0161436;1.50785
0.0164437;1.50763
0.0167494;1.5074
0.0170608;1.50718
0.017378;1.50696
0.0177011;1.50673
0.0180302;1.50651
0.0183654;1.50629
0.0187068;1.50607
0.0190546;1.50585
0.0194089;1.50563
0.0197697;1.50541
0.0201372;1.50519
0.0205116;1.50498
0.020893;1.50476
0.0212814;1.50454
0.021677;1.50433
0.02208;1.50411
0.0224905;1.5039
0.0229087;1.50368
0.0233346;1.50347
0.0237684;1.50326
0.0242103;1.50304
0.0246604;1.50283
0.0251189;1.50261
0.0255859;1.5024
0.0260615;1.50219
0.0265461;1.50198
0.0270396;1.50176
0.0275423;1.50155
0.0280543;1.50134
0.0285759;1.50112
0.0291072;1.50091
0.0296483;1.5007
0.0301995;1.50048
0.030761;1.50027
0.0313329;1.50006
0.0319154;1.49984
0.0325087;1.49963
0.0331131;1.49941
0.0337287;1.4992
0.0343558;1.49898
0.0349945;1.49877
0.0356451;1.49855
0.0363078;1.49833
0.0369828;1.49811
0.0376704;1.49789
0.0383707;1.49768
0.0390841;1.49746
0.0398107;1.49723
0.0405509;1.49701
0.0413048;1.49679
0.0420727;1.49657
0.0428549;1.49634
0.0436516;1.49612
0.0444631;1.49589
0.0452898;1.49566
0.0461318;1.49543
0.0469894;1.4952
0.047863;1.49497
