p2;M
0.001;1.79257
0.00101859;1.7934
0.00103753;1.79422
0.00105682;1.79504
0.00107647;1.79585
0.00109648;1.79665
0.00111686;1.79744
0.00113763;1.79823
0.00115878;1.79901
0.00118032;1.79979
0.00120226;1.80056
0.00122462;1.80132
0.00124738;1.80207
0.00127057;1.80282
0.0012942;1.80357
0.00131826;1.8043
0.00134276;1.80503
0.00136773;1.80576
0.00139316;1.80648
0.00141906;1.80719
0.00144544;1.80789
0.00147231;1.80859
0.00149968;1.80929
0.00152757;1.80998
0.00155597;1.81066
0.00158489;1.81133
0.00161436;1.81201
0.00164437;1.81267
0.00167494;1.81333
0.00170608;1.81398
0.0017378;1.81463
0.00177011;1.81527
0.00180302;1.81591
0.00183654;1.81654
0.00187068;1.81717
0.00190546;1.81779
0.00194089;1.8184
0.00197697;1.81901
0.00201372;1.81962
0.00205116;1.82022
0.0020893;1.82081
0.00212814;1.8214
0.0021677;1.82198
0.002208;1.82256
0.00224905;1.82313
0.00229087;1.8237
0.00233346;1.82426
0.00237684;1.82482
0.00242103;1.82538
0.00246604;1.82593
0.00251189;1.82647
0.00255859;1.82701
0.00260615;1.82754
0.00265461;1.82807
0.00270396;1.8286
0.00275423;1.82912
0.00280543;1.82963
0.00285759;1.83014
0.00291072;1.83065
0.00296483;1.83115
0.00301995;1.83165
0.0030761;1.83214
0.00313329;1.83263
0.00319154;1.83311
0.00325087;1.83359
0.00331131;1.83407
0.00337287;1.83454
0.00343558;1.83501
0.00349945;1.83547
0.00356451;1.83593
0.00363078;1.83638
0.00369828;1.83683
0.00376704;1.83728
0.00383707;1.83772
0.00390841;1.83816
0.00398107;1.83859
0.00405509;1.83902
0.00413048;1.83945
0.00420727;1.83987
0.00428549;1.84029
0.00436516;1.8407
0.00444631;1.84111
0.00452898;1.84152
0.00461318;1.84192
0.00469894;1.84232
0.0047863;1.84271
0.00487528;1.8431
0.00496592;1.84349
0.00505825;1.84388
0.00515229;1.84426
0.00524807;1.84463
0.00534564;1.84501
0.00544503;1.84538
0.00554626;1.84574
0.00564937;1.8461
0.0057544;1.84646
0.00586138;1.84682
0.00597035;1.84717
0.00608135;1.84752
0.00619441;1.84787
0.00630957;1.84821
0.00642688;1.84855
0.00654636;1.84888
0.00666807;1.84921
0.00679204;1.84954
0.00691831;1.84987
0.00704693;1.85019
0.00717794;1.85051
0.00731139;1.85082
0.00744732;1.85114
0.00758578;1.85145
0.00772681;1.85175
0.00787046;1.85206
0.00801678;1.85236
0.00816582;1.85265
0.00831764;1.85295
0.00847227;1.85324
0.00862979;1.85352
0.00879023;1.85381
0.00895365;1.85409
0.00912011;1.85437
0.00928966;1.85465
0.00946237;1.85492
0.00963829;1.85519
0.00981748;1.85545
0.01;1.85572
0.0101859;1.85598
0.0103753;1.85624
0.0105682;1.85649
0.0107647;1.85675
0.0109648;1.857
0.0111686;1.85724
0.0113763;1.85749
0.0115878;1.85773
0.0118032;1.85797
0.0120226;1.8582
0.0122462;1.85844
0.0124738;1.85867
0.0127057;1.85889
0.012942;1.85912
0.0131826;1.85934
0.0134276;1.85956
0.0136773;1.85978
0.0139316;1.85999
0.0141906;1.8602
0.0144544;1.86041
0.0147231;1.86062
0.0149968;1.86082
0.0152757;1.86102
0.0155597;1.86122
0.0158489;1.86142
0.0161436;1.86161
0.0164437;1.8618
0.0167494;1.86199
0.0170608;1.86217
0.017378;1.86236
0.0177011;1.86254
0.0180302;1.86271
0.0183654;1.86289
0.0187068;1.86306
0.0190546;1.86323
0.0194089;1.8634
0.0197697;1.86356
0.0201372;1.86372
0.0205116;1.86388
0.020893;1.86404
0.0212814;1.8642
0.021677;1.86435
0.02208;1.8645
0.0224905;1.86465
0.0229087;1.86479
0.0233346;1.86493
0.0237684;1.86507
0.0242103;1.86521
0.0246604;1.86534
0.0251189;1.86547
0.0255859;1.8656
0.0260615;1.86573
0.0265461;1.86585
0.0270396;1.86598
0.0275423;1.8661
0.0280543;1.86621
0.0285759;1.86633
0.0291072;1.86644
0.0296483;1.86655
0.0301995;1.86665
0.030761;1.86676
0.0313329;1.86686
0.0319154;1.86696
0.0325087;1.86705
0.0331131;1.86715
0.0337287;1.86724
0.0343558;1.86733
0.0349945;1.86741
0.0356451;1.86749
0.0363078;1.86757
0.0369828;1.86765
0.0376704;1.86773
0.0383707;1.8678
0.0390841;1.86787
0.0398107;1.86794
0.0405509;1.868
0.0413048;1.86806
0.0420727;1.86812
0.0428549;1.86818
0.0436516;1.86823
0.0444631;1.86828
0.0452898;1.86833
0.0461318;1.86837
0.0469894;1.86842
0.047863;1.86846
0.0487528;1.86849
0.0496592;1.86853
0.0505825;1.86856
0.0515229;1.86858
0.0524807;1.86861
0.0534564;1.86863
0.0544503;1.86865
0.0554626;1.86867
0.0564937;1.86868
0.057544;1.86869
0.0586138;1.86869
0.0597035;1.8687
0.0608135;1.8687
0.0619441;1.8687
0.0630957;1.86869
0.0642688;1.86868
0.0654636;1.86867
0.0666807;1.86865
0.0679204;1.86864
0.0691831;1.86861
0.0704693;1.86859
0.0717794;1.86856
0.0731139;1.86853
0.0744732;1.86849
0.0758578;1.86845
0.0772681;1.86841
0.0787046;1.86836
0.0801678;1.86831
0.0816582;1.86826
0.0831764;1.8682
0.0847227;1.86814
0.0862979;1.86807
0.0879023;1.86801
0.0895365;1.86793
0.0912011;1.86786
0.0928966;1.86778
0.0946237;1.86769
0.0963829;1.8676
0.0981748;1.86751
0.1;1.86741
0.101859;1.86731
0.103753;1.86721
0.105682;1.8671
0.107647;1.86698
0.109648;1.86686
0.111686;1.86674
0.113763;1.86661
0.115878;1.86648
0.118032;1.86634
0.120226;1.8662
0.122462;1.86605
0.124738;1.8659
0.127057;1.86575
0.12942;1.86558
0.131826;1.86542
0.134276;1.86525
0.136773;1.86507
0.139316;1.86489
0.141906;1.8647
0.144544;1.8645
0.147231;1.86431
0.149968;1.8641
0.152757;1.86389
0.155597;1.86367
0.158489;1.86345
0.161436;1.86322
0.164437;1.86299
0.167494;1.86275
0.170608;1.8625
0.17378;1.86225
0.177011;1.86199
0.180302;1.86172
0.183654;1.86145
0.187068;1.86117
0.190546;1.86089
0.194089;1.86059
0.197697;1.86029
0.201372;1.85999
0.205116;1.85967
0.20893;1.85935
0.212814;1.85902
0.21677;1.85868
0.2208;1.85834
0.224905;1.85799
0.229087;1.85763
0.233346;1.85726
0.237684;1.85688
0.242103;1.8565
0.246604;1.85611
0.251189;1.85571
0.255859;1.8553
0.260615;1.85488
0.265461;1.85446
0.270396;1.85402
0.275423;1.85358
0.280543;1.85313
0.285759;1.85266
0.291072;1.85219
0.296483;1.85171
0.301995;1.85122
0.30761;1.85072
0.313329;1.85021
0.319154;1.84969
0.325087;1.84916
0.331131;1.84862
0.337287;1.84807
0.343558;1.8475
0.349945;1.84693
0.356451;1.84635
0.363078;1.84575
0.369828;1.84514
0.376704;1.84452
0.383707;1.84389
0.390841;1.84325
0.398107;1.84259
0.405509;1.84192
0.413048;1.84124
0.420727;1.84054
0.428549;1.83984
0.436516;1.83911
0.444631;1.83838
0.452898;1.83763
0.461318;1.83687
0.469894;1.83609
0.47863;1.8353
0.487528;1.83449
0.496592;1.83367
0.505825;1.83283
0.515229;1.83198
0.524807;1.83111
0.534564;1.83023
0.544503;1.82933
0.554626;1.82841
0.564937;1.82748
0.57544;1.82653
0.586138;1.82557
0.597035;1.82459
0.608135;1.8236
0.619441;1.82258
0.630957;1.82155
0.642688;1.8205
0.654636;1.81944
0.666807;1.81835
0.679204;1.81725
0.691831;1.81613
0.704693;1.81499
0.717794;1.81383
0.731139;1.81265
0.744732;1.81145
0.758578;1.81023
0.772681;1.80899
0.787046;1.80773
0.801678;1.80645
0.816582;1.80515
0.831764;1.80382
0.847227;1.80247
0.862979;1.8011
0.879023;1.79971
0.895365;1.7983
0.912011;1.79686
0.928966;1.7954
0.946237;1.79392
0.963829;1.79241
0.981748;1.79088
1;1.78932
1.01859;1.78775
1.03753;1.78614
1.05682;1.78452
1.07647;1.78287
1.09648;1.78119
1.11686;1.7795
1.13763;1.77777
1.15878;1.77602
1.18032;1.77425
1.20226;1.77245
1.22462;1.77062
1.24738;1.76877
1.27057;1.76689
1.2942;1.76498
1.31826;1.76304
1.34276;1.76108
1.36773;1.75909
1.39316;1.75707
1.41906;1.75502
1.44544;1.75295
1.47231;1.75084
1.49968;1.74871
1.52757;1.74654
1.55597;1.74435
1.58489;1.74213
1.61436;1.73989
1.64437;1.73761
1.67494;1.73531
1.70608;1.73298
1.7378;1.73062
1.77011;1.72823
1.80302;1.72581
1.83654;1.72336
1.87068;1.72089
1.90546;1.71838
1.94089;1.71584
1.97697;1.71328
2.01372;1.71068
2.05116;1.70805
2.0893;1.7054
2.12814;1.70271
2.1677;1.69999
2.208;1.69725
2.24905;1.69447
2.29087;1.69167
2.33346;1.68884
2.37684;1.68598
2.42103;1.68309
2.46604;1.68018
2.51189;1.67724
2.55859;1.67427
2.60615;1.67127
2.65461;1.66825
2.70396;1.6652
2.75423;1.66212
2.80543;1.65901
2.85759;1.65587
2.91072;1.65271
