p2_real;p2_imag;A_real;A_imag
0.001;-1;1.70999;0.116228
0.00103466;-1;1.70997;0.116234
0.00107051;-1;1.70995;0.11624
0.00110761;-1;1.70993;0.116247
0.001146;-1;1.7099;0.116253
0.00118571;-1;1.70988;0.11626
0.0012268;-1;1.70986;0.116267
0.00126932;-1;1.70983;0.116275
0.00131331;-1;1.70981;0.116282
0.00135882;-1;1.70978;0.11629
0.00140591;-1;1.70976;0.116298
0.00145464;-1;1.70973;0.116307
0.00150505;-1;1.7097;0.116315
0.00155721;-1;1.70967;0.116324
0.00161117;-1;1.70964;0.116334
0.00166701;-1;1.70961;0.116343
0.00172478;-1;1.70957;0.116353
0.00178456;-1;1.70954;0.116363
0.0018464;-1;1.7095;0.116374
0.00191039;-1;1.70947;0.116385
0.00197659;-1;1.70943;0.116397
0.00204509;-1;1.70939;0.116408
0.00211597;-1;1.70935;0.116421
0.0021893;-1;1.70931;0.116433
0.00226517;-1;1.70927;0.116446
0.00234367;-1;1.70922;0.11646
0.00242489;-1;1.70917;0.116474
0.00250893;-1;1.70913;0.116488
0.00259588;-1;1.70908;0.116503
0.00268584;-1;1.70903;0.116518
0.00277892;-1;1.70897;0.116534
0.00287523;-1;1.70892;0.116551
0.00297487;-1;1.70886;0.116568
0.00307797;-1;1.7088;0.116585
0.00318464;-1;1.70874;0.116604
0.003295;-1;1.70868;0.116622
0.00340919;-1;1.70862;0.116642
0.00352734;-1;1.70855;0.116662
0.00364958;-1;1.70848;0.116683
0.00377606;-1;1.70841;0.116704
0.00390693;-1;1.70833;0.116727
0.00404232;-1;1.70826;0.11675
0.00418241;-1;1.70818;0.116773
0.00432736;-1;1.70809;0.116798
0.00447733;-1;1.70801;0.116823
0.00463249;-1;1.70792;0.116849
0.00479303;-1;1.70783;0.116877
0.00495914;-1;1.70774;0.116905
0.005131;-1;1.70764;0.116934
0.00530882;-1;1.70754;0.116963
0.0054928;-1;1.70744;0.116994
0.00568316;-1;1.70733;0.117026
0.00588011;-1;1.70722;0.117059
0.00608389;-1;1.7071;0.117093
0.00629474;-1;1.70698;0.117129
0.00651288;-1;1.70686;0.117165
0.00673859;-1;1.70673;0.117203
0.00697212;-1;1.7066;0.117242
0.00721375;-1;1.70647;0.117282
0.00746375;-1;1.70633;0.117323
0.00772241;-1;1.70618;0.117366
0.00799003;-1;1.70603;0.11741
0.00826694;-1;1.70588;0.117456
0.00855343;-1;1.70571;0.117503
0.00884986;-1;1.70555;0.117552
0.00915656;-1;1.70538;0.117602
0.00947388;-1;1.7052;0.117654
0.00980221;-1;1.70502;0.117708
0.0101419;-1;1.70483;0.117764
0.0104934;-1;1.70463;0.117821
0.010857;-1;1.70443;0.11788
0.0112333;-1;1.70422;0.117941
0.0116226;-1;1.704;0.118004
0.0120254;-1;1.70378;0.118069
0.0124421;-1;1.70355;0.118136
0.0128733;-1;1.70331;0.118205
0.0133195;-1;1.70306;0.118277
0.0137811;-1;1.70279;0.118413
0.0142587;-1;1.70252;0.118489
0.0147528;-1;1.70225;0.118568
0.0152641;-1;1.70197;0.118649
0.0157931;-1;1.70168;0.118732
0.0163404;-1;1.70138;0.118818
0.0169067;-1;1.70107;0.118907
0.0174926;-1;1.70074;0.118999
0.0180988;-1;1.70041;0.119094
0.018726;-1;1.70007;0.119191
0.019375;-1;1.69971;0.119292
0.0200464;-1;1.69935;0.119396
0.0207412;-1;1.69897;0.119503
0.02146;-1;1.69858;0.119615
0.0222037;-1;1.69817;0.119729
0.0229732;-1;1.69776;0.119846
0.0237693;-1;1.69733;0.119967
0.0245931;-1;1.69688;0.120092
0.0254454;-1;1.69642;0.120221
0.0263272;-1;1.69595;0.120354
0.0272396;-1;1.69546;0.120491
0.0281836;-1;1.69495;0.120632
0.0291603;-1;1.69443;0.120778
0.0301709;-1;1.69389;0.120928
0.0312165;-1;1.69333;0.121083
0.0322983;-1;1.69276;0.121243
0.0334176;-1;1.69216;0.121408
0.0345757;-1;1.69155;0.121579
0.035774;-1;1.69092;0.121754
0.0370138;-1;1.69027;0.121936
0.0382965;-1;1.6896;0.122124
0.0396237;-1;1.6889;0.122317
0.0409969;-1;1.68819;0.122518
0.0424177;-1;1.68745;0.122725
0.0438877;-1;1.68669;0.122939
0.0454086;-1;1.68591;0.123163
0.0469823;-1;1.6851;0.123392
0.0486105;-1;1.68427;0.123631
0.0502952;-1;1.68341;0.123878
0.0520382;-1;1.68253;0.124135
0.0538416;-1;1.68162;0.124402
