p2_real;p2_imag;M_real;M_imag
0.001;-1;0.29251;0.417422
0.00103466;-1;0.292502;0.41741
0.00107051;-1;0.292494;0.417398
0.00110761;-1;0.292485;0.417385
0.001146;-1;0.292477;0.417372
0.00118571;-1;0.292467;0.417358
0.0012268;-1;0.292458;0.417344
0.00126932;-1;0.292448;0.41733
0.00131331;-1;0.292438;0.417315
0.00135882;-1;0.292427;0.417299
0.00140591;-1;0.292416;0.417283
0.00145464;-1;0.292405;0.417266
0.00150505;-1;0.292393;0.417249
0.00155721;-1;0.292381;0.417231
0.00161117;-1;0.292369;0.417213
0.00166701;-1;0.292356;0.417194
0.00172478;-1;0.292342;0.417174
0.00178456;-1;0.292328;0.417153
0.0018464;-1;0.292314;0.417132
0.00191039;-1;0.292299;0.41711
0.00197659;-1;0.292284;0.417088
0.00204509;-1;0.292268;0.417064
0.00211597;-1;0.292251;0.41704
0.0021893;-1;0.292234;0.417015
0.00226517;-1;0.292217;0.416989
0.00234367;-1;0.292198;0.416962
0.00242489;-1;0.292179;0.416934
0.00250893;-1;0.29216;0.416906
0.00259588;-1;0.29214;0.416876
0.00268584;-1;0.292119;0.416845
0.00277892;-1;0.292097;0.416813
0.00287523;-1;0.292075;0.41678
0.00297487;-1;0.292052;0.416746
0.00307797;-1;0.292028;0.416711
0.00318464;-1;0.292003;0.416674
0.003295;-1;0.291977;0.416637
0.00340919;-1;0.291951;0.416597
0.00352734;-1;0.291923;0.416557
0.00364958;-1;0.291895;0.416515
0.00377606;-1;0.291865;0.416472
0.00390693;-1;0.291835;0.416427
0.00404232;-1;0.291803;0.416381
0.00418241;-1;0.291771;0.416333
0.00432736;-1;0.291737;0.416283
0.00447733;-1;0.291702;0.416232
0.00463249;-1;0.291666;0.416179
0.00479303;-1;0.291629;0.416124
0.00495914;-1;0.29159;0.416067
0.005131;-1;0.29155;0.416008
0.00530882;-1;0.291509;0.415948
0.0054928;-1;0.291466;0.415885
0.00568316;-1;0.291422;0.41582
0.00588011;-1;0.291376;0.415752
0.00608389;-1;0.291328;0.415683
0.00629474;-1;0.291279;0.41561
0.00651288;-1;0.291228;0.415536
0.00673859;-1;0.291176;0.415459
0.00697212;-1;0.291121;0.415379
0.00721375;-1;0.291065;0.415296
0.00746375;-1;0.291007;0.415211
0.00772241;-1;0.290947;0.415122
0.00799003;-1;0.290884;0.415031
0.00826694;-1;0.29082;0.414936
0.00855343;-1;0.290753;0.414838
0.00884986;-1;0.290684;0.414737
0.00915656;-1;0.290613;0.414632
0.00947388;-1;0.290539;0.414524
0.00980221;-1;0.290462;0.414412
0.0101419;-1;0.290383;0.414295
0.0104934;-1;0.290301;0.414175
0.010857;-1;0.290217;0.414051
0.0112333;-1;0.290129;0.413923
0.0116226;-1;0.290038;0.41379
0.0120254;-1;0.289944;0.413652
0.0124421;-1;0.289847;0.41351
0.0128733;-1;0.289747;0.413363
0.0133195;-1;0.289643;0.41321
0.0137811;-1;0.289514;0.413169
0.0142587;-1;0.289403;0.413006
0.0147528;-1;0.289288;0.412837
0.0152641;-1;0.289169;0.412663
0.0157931;-1;0.289045;0.412482
0.0163404;-1;0.288918;0.412296
0.0169067;-1;0.288786;0.412103
0.0174926;-1;0.28865;0.411903
0.0180988;-1;0.288508;0.411696
0.018726;-1;0.288362;0.411482
0.019375;-1;0.288211;0.411261
0.0200464;-1;0.288055;0.411032
0.0207412;-1;0.287893;0.410795
0.02146;-1;0.287722;0.410562
0.0222037;-1;0.287549;0.410309
0.0229732;-1;0.28737;0.410047
0.0237693;-1;0.287185;0.409776
0.0245931;-1;0.286994;0.409495
0.0254454;-1;0.286796;0.409205
0.0263272;-1;0.286591;0.408905
0.0272396;-1;0.286379;0.408594
0.0281836;-1;0.28616;0.408273
0.0291603;-1;0.285934;0.407941
0.0301709;-1;0.285699;0.407597
0.0312165;-1;0.285457;0.407242
0.0322983;-1;0.285207;0.406874
0.0334176;-1;0.284948;0.406493
0.0345757;-1;0.28468;0.406099
0.035774;-1;0.284403;0.405692
0.0370138;-1;0.284117;0.40527
0.0382965;-1;0.283821;0.404834
0.0396237;-1;0.283515;0.404383
0.0409969;-1;0.283199;0.403916
0.0424177;-1;0.282872;0.403433
0.0438877;-1;0.282534;0.402933
0.0454086;-1;0.282182;0.402427
0.0469823;-1;0.281821;0.401891
0.0486105;-1;0.281449;0.401337
0.0502952;-1;0.281064;0.400764
0.0520382;-1;0.280666;0.40017
0.0538416;-1;0.280256;0.399555
0.0557075;-1;0.279832;0.398918
0.0576381;-1;0.279441;0.398433
0.0596356;-1;0.278989;0.39775
0.0617023;-1;0.278522;0.397043
0.0638407;-1;0.27804;0.396311
0.0660531;-1;0.277544;0.395552
0.0683422;-1;0.277031;0.394765
0.0707107;-1;0.2765;0.39396
0.0731612;-1;0.275956;0.393116
0.0756967;-1;0.275383;0.392354
0.07832;-1;0.274807;0.391446
0.0810342;-1;0.274214;0.390505
0.0838425;-1;0.273605;0.389529
0.0867482;-1;0.27298;0.388518
0.0897545;-1;0.272338;0.387471
0.092865;-1;0.271679;0.386396
0.0960833;-1;0.271006;0.385274
0.0994131;-1;0.270318;0.384114
0.102858;-1;0.269614;0.382917
0.106423;-1;0.268895;0.381683
0.110111;-1;0.268159;0.380412
0.113927;-1;0.267402;0.379114
0.117875;-1;0.266627;0.377773
0.12196;-1;0.265829;0.376397
0.126187;-1;0.265005;0.374986
0.13056;-1;0.264152;0.37354
0.135085;-1;0.263264;0.372064
0.139766;-1;0.262336;0.37065
0.14461;-1;0.261376;0.369086
0.149622;-1;0.260375;0.367483
0.154807;-1;0.259333;0.365828
0.160172;-1;0.258248;0.364124
0.165723;-1;0.257118;0.362371
0.171466;-1;0.25601;0.360737
0.177408;-1;0.254253;0.358728
0.183556;-1;0.252987;0.356799
0.189918;-1;0.251676;0.354811
0.196499;-1;0.250319;0.352759
0.203309;-1;0.248916;0.350741
0.210355;-1;0.247469;0.348557
0.217645;-1;0.245975;0.346302
0.225188;-1;0.244434;0.343974
0.232992;-1;0.242846;0.341568
0.241066;-1;0.241211;0.339081
0.249421;-1;0.239529;0.336506
0.258065;-1;0.237805;0.333838
0.267008;-1;0.236047;0.331158
0.276261;-1;0.234264;0.328289
0.285835;-1;0.232546;0.325504
0.295741;-1;0.230755;0.322483
0.30599;-1;0.228943;0.319432
0.316595;-1;0.22707;0.316358
0.327567;-1;0.225111;0.313312
0.338919;-1;0.223051;0.31012
0.350664;-1;0.220902;0.306838
0.362817;-1;0.218674;0.303459
0.37539;-1;0.216373;0.299982
0.3884;-1;0.214007;0.296465
0.40186;-1;0.211567;0.292789
0.415787;-1;0.20912;0.289172
0.430196;-1;0.206526;0.285328
0.445105;-1;0.203822;0.281308
0.460531;-1;0.20096;0.277034
0.476491;-1;0.198473;0.271925
0.493004;-1;0.196799;0.268391
0.510089;-1;0.19379;0.264464
0.527767;-1;0.190875;0.26028
0.546057;-1;0.18791;0.255831
0.564981;-1;0.18492;0.251286
0.584561;-1;0.181892;0.246668
0.604819;-1;0.178821;0.242
0.625779;-1;0.175724;0.237321
0.647466;-1;0.172751;0.232864
0.669905;-1;0.171289;0.228231
0.693121;-1;0.166607;0.220859
0.717141;-1;0.162938;0.216377
0.741995;-1;0.1595;0.211586
0.767709;-1;0.156007;0.206595
0.794314;-1;0.152414;0.201527
0.821842;-1;0.148694;0.19635
0.850324;-1;0.144889;0.191055
0.879792;-1;0.141026;0.185531
0.910282;-1;0.137149;0.179859
0.941829;-1;0.13327;0.174114
0.974468;-1;0.128946;0.168292
1.00824;-1;0.124489;0.163376
1.04318;-1;0.121263;0.158569
1.07933;-1;0.118112;0.153033
1.11674;-1;0.114745;0.147364
1.15544;-1;0.111406;0.141788
1.19548;-1;0.107933;0.136199
1.23691;-1;0.104471;0.130668
1.27978;-1;0.101039;0.125199
1.32413;-1;0.0976681;0.119834
1.37002;-1;0.0944171;0.114469
1.4175;-1;0.090999;0.109111
1.46662;-1;0.0876531;0.103988
1.51745;-1;0.0843708;0.0989348
1.57004;-1;0.0811503;0.093953
1.62445;-1;0.0779426;0.0891167
1.68075;-1;0.074946;0.08457
1.73899;-1;0.0717549;0.0800578
1.79926;-1;0.0685896;0.0754993
1.86161;-1;0.0655904;0.0710261
1.92613;-1;0.0627197;0.0667164
1.99288;-1;0.059941;0.0625573
2.06195;-1;0.0570796;0.0587253
2.1334;-1;0.0546585;0.0546776
2.20734;-1;0.05213;0.050998
2.28384;-1;0.0496789;0.047473
